01890,42.453,-71.1441,Boston,http://boston.craigslist.org/,Massachusetts
01899,42.6354,-70.8791,Boston,http://boston.craigslist.org/,Massachusetts
01902,42.4698,-70.942,Boston,http://boston.craigslist.org/,Massachusetts
01903,42.6354,-70.8791,Boston,http://boston.craigslist.org/,Massachusetts
01904,42.4889,-70.9647,Boston,http://boston.craigslist.org/,Massachusetts
01905,42.4694,-70.9728,Boston,http://boston.craigslist.org/,Massachusetts
01907,42.4746,-70.9098,Boston,http://boston.craigslist.org/,Massachusetts
01908,42.4261,-70.9277,Boston,http://boston.craigslist.org/,Massachusetts
01913,42.8559,-70.9367,New Hampshire,http://nh.craigslist.org/,New Hampshire
01915,42.5608,-70.8759,Boston,http://boston.craigslist.org/,Massachusetts
01929,42.6286,-70.7828,Boston,http://boston.craigslist.org/,Massachusetts
01944,42.5796,-70.7674,Boston,http://boston.craigslist.org/,Massachusetts
01945,42.4984,-70.8653,Boston,http://boston.craigslist.org/,Massachusetts
01951,42.7835,-70.8474,New Hampshire,http://nh.craigslist.org/,New Hampshire
01969,42.7138,-70.907,Boston,http://boston.craigslist.org/,Massachusetts
01971,42.6354,-70.8791,Boston,http://boston.craigslist.org/,Massachusetts
01985,42.7949,-70.9778,New Hampshire,http://nh.craigslist.org/,New Hampshire
02018,41.9705,-70.7014,Boston,http://boston.craigslist.org/,Massachusetts
02019,42.0746,-71.4768,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
02027,42.18,-71.0892,Boston,http://boston.craigslist.org/,Massachusetts
02031,41.9988,-71.2009,Boston,http://boston.craigslist.org/,Massachusetts
02035,42.0649,-71.2441,Boston,http://boston.craigslist.org/,Massachusetts
02040,41.9705,-70.7014,Boston,http://boston.craigslist.org/,Massachusetts
02041,42.0696,-70.6491,Boston,http://boston.craigslist.org/,Massachusetts
02043,42.2245,-70.8911,Boston,http://boston.craigslist.org/,Massachusetts
02044,41.9705,-70.7014,Boston,http://boston.craigslist.org/,Massachusetts
02045,42.2853,-70.8754,Boston,http://boston.craigslist.org/,Massachusetts
02047,42.1428,-70.6935,Boston,http://boston.craigslist.org/,Massachusetts
02048,42.0212,-71.2178,Boston,http://boston.craigslist.org/,Massachusetts
02050,42.1062,-70.6993,Boston,http://boston.craigslist.org/,Massachusetts
02051,42.1512,-70.7341,Boston,http://boston.craigslist.org/,Massachusetts
02052,42.1845,-71.3048,Boston,http://boston.craigslist.org/,Massachusetts
02053,42.1514,-71.4217,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
02054,42.1669,-71.3607,Boston,http://boston.craigslist.org/,Massachusetts
02055,41.9705,-70.7014,Boston,http://boston.craigslist.org/,Massachusetts
02056,42.1177,-71.3269,Boston,http://boston.craigslist.org/,Massachusetts
02065,42.0972,-70.6516,Boston,http://boston.craigslist.org/,Massachusetts
02066,42.2032,-70.7525,Boston,http://boston.craigslist.org/,Massachusetts
02067,42.1094,-71.1759,Boston,http://boston.craigslist.org/,Massachusetts
02070,42.18,-71.0892,Boston,http://boston.craigslist.org/,Massachusetts
02071,42.0992,-71.2752,Boston,http://boston.craigslist.org/,Massachusetts
02072,42.1253,-71.1074,Boston,http://boston.craigslist.org/,Massachusetts
02081,42.1444,-71.2544,Boston,http://boston.craigslist.org/,Massachusetts
02090,42.2148,-71.2104,Boston,http://boston.craigslist.org/,Massachusetts
02093,42.0617,-71.3396,Boston,http://boston.craigslist.org/,Massachusetts
02101,42.3706,-71.027,Boston,http://boston.craigslist.org/,Massachusetts
02103,42.3389,-70.9196,Boston,http://boston.craigslist.org/,Massachusetts
02104,42.3389,-70.9196,Boston,http://boston.craigslist.org/,Massachusetts
02105,42.3389,-70.9196,Boston,http://boston.craigslist.org/,Massachusetts
02106,42.3543,-71.0734,Boston,http://boston.craigslist.org/,Massachusetts
02107,42.3389,-70.9196,Boston,http://boston.craigslist.org/,Massachusetts
02108,42.3576,-71.0684,Boston,http://boston.craigslist.org/,Massachusetts
02109,42.36,-71.0545,Boston,http://boston.craigslist.org/,Massachusetts
02110,42.3576,-71.0514,Boston,http://boston.craigslist.org/,Massachusetts
02111,42.3503,-71.0629,Boston,http://boston.craigslist.org/,Massachusetts
02115,42.3427,-71.0922,Boston,http://boston.craigslist.org/,Massachusetts
02116,42.3492,-71.0768,Boston,http://boston.craigslist.org/,Massachusetts
02117,42.3585,-71.058,Boston,http://boston.craigslist.org/,Massachusetts
02118,42.3362,-71.0729,Boston,http://boston.craigslist.org/,Massachusetts
02119,42.3231,-71.0846,Boston,http://boston.craigslist.org/,Massachusetts
02120,42.3325,-71.0964,Boston,http://boston.craigslist.org/,Massachusetts
02121,42.3071,-71.0816,Boston,http://boston.craigslist.org/,Massachusetts
02122,42.2966,-71.0552,Boston,http://boston.craigslist.org/,Massachusetts
02123,42.3389,-70.9196,Boston,http://boston.craigslist.org/,Massachusetts
02124,42.2868,-71.071,Boston,http://boston.craigslist.org/,Massachusetts
02125,42.3148,-71.0672,Boston,http://boston.craigslist.org/,Massachusetts
02126,42.2739,-71.0939,Boston,http://boston.craigslist.org/,Massachusetts
02127,42.3347,-71.0375,Boston,http://boston.craigslist.org/,Massachusetts
02128,42.3642,-71.0257,Boston,http://boston.craigslist.org/,Massachusetts
02129,42.3778,-71.0627,Boston,http://boston.craigslist.org/,Massachusetts
02130,42.3126,-71.1115,Boston,http://boston.craigslist.org/,Massachusetts
02137,42.3389,-70.9196,Boston,http://boston.craigslist.org/,Massachusetts
02142,42.362,-71.083,Boston,http://boston.craigslist.org/,Massachusetts
02143,42.3829,-71.1028,Boston,http://boston.craigslist.org/,Massachusetts
02145,42.3907,-71.0929,Boston,http://boston.craigslist.org/,Massachusetts
02148,42.4291,-71.0605,Boston,http://boston.craigslist.org/,Massachusetts
02149,42.4112,-71.0514,Boston,http://boston.craigslist.org/,Massachusetts
02151,42.4138,-71.0052,Boston,http://boston.craigslist.org/,Massachusetts
02153,42.4464,-71.4594,Boston,http://boston.craigslist.org/,Massachusetts
